FlightNumber,Year,Month,DayofMonth,DayOfWeek,ScheduledDepTime,ScheduledArrTime,ScheduledTravelTime,Origin,Destination,Distance,ActualArrivalTimeStamp,WeatherStationID,GroundHeight,StationHeight,BarometerHeight,Latitude,Longitude,Origin_TimeZone,Destination_TimeZone,ScheduledDepDate,ScheduledDepTimeStamp,Diff_TimeZone,ScheduledArrivalTimestamp,ScheduledArrivalTimestamp1,TotalDelayTime,FlightDelayStatus,YearMonthDay,Time,SkyConditions,Visibility,DBT,DewPointTemp,RelativeHumidityPercent,WindSpeed,WindDirection,WindGustValue,StationPressure,HourlyPrecip,Timestamp,dest_YearMonthDay,dest_Time,dest_SkyConditions,dest_Visibility,dest_DBT,dest_DewPointTemp,dest_RelativeHumidityPercent,dest_WindSpeed,dest_WindDirection,dest_WindGustValue,dest_StationPressure,dest_HourlyPrecip,dest_Timestamp
GNV_ATL_31276,2004,7,18,7,15:20,16:58,98,GNV,ATL,300,2004-07-18 19:07:00,12816,149,165,152,29.41,-82.16,+5,+5,18-7-2004,2004-07-18 15:20:00,0,2004-07-18 16:58:00,18-07-2004 16:58,129,1,18-07-2004,09:53,FEW005 SCT014 BKN070,10SM,77.0,73.0,88.0,8.0,190,0.0,29.75,0.01,2004-07-18 09:53:00,18-07-2004,09:53,FEW005 SCT014 BKN070,10SM,77.0,73.0,88.0,8.0,190,0.0,29.75,0.01,2004-07-18 09:53:00
DFW_SJU_32640,2004,3,24,3,15:21,21:43,262,DFW,SJU,2165,2004-03-24 21:43:00,3927,559,596,562,32.54,-97.02,+6,+4,24-3-2004,2004-03-24 15:21:00,120,2004-03-24 17:43:00,24-03-2004 21:43,0,2,24-03-2004,09:53,OVC013,8SM,63.0,59.0,87.0,16.0,170,21.0,29.52,0.0,2004-03-24 09:53:00,24-03-2004,09:53,OVC013,8SM,63.0,59.0,87.0,16.0,170,21.0,29.52,0.0,2004-03-24 09:53:00
GJT_SLC_30446,2004,1,3,6,11:43,12:48,65,GJT,SLC,217,2004-01-03 12:48:00,23066,4823,4839,4826,39.08,-108.32,+7,+7,3-1-2004,2004-01-03 11:43:00,0,2004-01-03 12:48:00,03-01-2004 12:48,0,2,03-01-2004,09:53,BKN060 BKN070,10SM,28.0,26.0,92.0,0.0,000,0.0,24.88,0.0,2004-01-03 09:53:00,03-01-2004,09:53,BKN060 BKN070,10SM,28.0,26.0,92.0,0.0,000,0.0,24.88,0.0,2004-01-03 09:53:00
IAD_DAY_32236,2004,5,21,5,09:15,11:06,111,IAD,DAY,368,2004-05-21 11:06:00,93738,306,323,309,38.56,-77.27,+5,+6,21-5-2004,2004-05-21 09:15:00,-60,2004-05-21 12:06:00,21-05-2004 11:06,0,2,21-05-2004,09:06,FEW009 SCT065 OVC140,3SM,,,,5.0,190,0.0,,,2004-05-21 09:06:00,21-05-2004,09:51,FEW095 BKN160,9SM,75.0,67.0,76.0,8.0,210,0.0,29.72,0.0,2004-05-21 09:51:00
SNA_DFW_49976,2004,5,18,2,08:15,13:10,175,SNA,DFW,1205,2004-05-18 13:10:00,93184,49,55,52,33.41,-117.52,+8,+6,18-5-2004,2004-05-18 08:15:00,120,2004-05-18 09:10:00,18-05-2004 13:10,0,2,18-05-2004,07:53,BKN020 BKN200,10SM,65.0,56.0,73.0,6,220,0.0,30.01,0.0,2004-05-18 07:53:00,18-05-2004,09:53,SCT025,10SM,71.0,56.0,59.0,9,200,0.0,30.02,0.0,2004-05-18 09:53:00
IAH_MEM_41435,2004,11,16,2,15:35,17:09,94,IAH,MEM,469,2004-11-16 17:09:00,12960,118,108,121,29.59,-95.22,+6,+6,16-11-2004,2004-11-16 15:35:00,0,2004-11-16 17:09:00,16-11-2004 17:09,0,2,16-11-2004,09:53,OVC007,1.75SM,67.0,64.0,91.0,9.0,090,0.0,30.17,0.0,2004-11-16 09:53:00,16-11-2004,09:53,OVC007,1.75SM,67.0,64.0,91.0,9.0,090,0.0,30.17,0.0,2004-11-16 09:53:00
ATL_JAX_34808,2004,3,18,4,14:38,15:46,68,ATL,JAX,270,2004-03-18 15:46:00,13874,971,1026,974,33.38,-84.26,+5,+5,18-3-2004,2004-03-18 14:38:00,0,2004-03-18 15:46:00,18-03-2004 15:46,0,2,18-03-2004,09:53,BKN150 BKN200 OVC250,10SM,60.0,46.0,60.0,10.0,240,0.0,29.06,0.0,2004-03-18 09:53:00,18-03-2004,09:53,BKN150 BKN200 OVC250,10SM,60.0,46.0,60.0,10.0,240,0.0,29.06,0.0,2004-03-18 09:53:00
LGB_JFK_40880,2004,9,25,6,09:00,17:20,320,LGB,JFK,2465,2004-09-25 17:20:00,23129,34,40,37,33.5,-118.1,+8,+5,25-9-2004,2004-09-25 09:00:00,180,2004-09-25 11:20:00,25-09-2004 17:20,0,2,25-09-2004,08:53,CLR,3SM,69.0,62.0,78.0,0,000,0.0,29.92,0.0,2004-09-25 08:53:00,25-09-2004,09:53,CLR,6SM,75.0,59.0,58.0,0,000,0.0,29.91,0.0,2004-09-25 09:53:00
RDU_LGA_31104,2004,7,2,5,14:30,15:55,85,RDU,LGA,431,2004-07-02 15:55:00,13722,427,437,430,35.52,-78.47,+5,+5,2-7-2004,2004-07-02 14:30:00,0,2004-07-02 15:55:00,02-07-2004 15:55,0,2,02-07-2004,09:51,FEW030 OVC250,8SM,83.0,71.0,67.0,3.0,220,0.0,29.61,0.0,2004-07-02 09:51:00,02-07-2004,09:51,FEW030 OVC250,8SM,83.0,71.0,67.0,3.0,220,0.0,29.61,0.0,2004-07-02 09:51:00
MDW_CLT_45044,2004,3,21,7,08:25,11:10,105,MDW,CLT,584,2004-03-21 11:10:00,14819,616,618,619,41.47,-87.45,+6,+5,21-3-2004,2004-03-21 08:25:00,60,2004-03-21 09:10:00,21-03-2004 11:10,0,2,21-03-2004,07:53,OVC042,10SM,31.0,15.0,52.0,14.0,340,0.0,29.75,0.0,2004-03-21 07:53:00,21-03-2004,09:53,OVC037,10SM,31.0,17.0,56.0,12.0,340,0.0,29.78,,2004-03-21 09:53:00
DTW_ATL_40715,2004,9,7,2,15:17,17:11,114,DTW,ATL,594,2004-09-07 17:11:00,94847,628,664,631,42.13,-83.21,+5,+5,7-9-2004,2004-09-07 15:17:00,0,2004-09-07 17:11:00,07-09-2004 17:11,0,2,07-09-2004,09:54,FEW015 BKN090,10SM,72.0,61.0,69.0,7.0,340,0.0,29.34,0.0,2004-09-07 09:54:00,07-09-2004,09:54,FEW015 BKN090,10SM,72.0,61.0,69.0,7.0,340,0.0,29.34,0.0,2004-09-07 09:54:00
MDW_SFO_45960,2004,7,5,1,06:50,09:15,265,MDW,SFO,1855,2004-07-05 09:15:00,14819,616,618,619,41.47,-87.45,+6,+8,5-7-2004,2004-07-05 06:50:00,-120,2004-07-05 13:15:00,05-07-2004 09:15,0,2,05-07-2004,06:30,BKN016,10SM,,,,9,060,0.0,,,2004-07-05 06:30:00,05-07-2004,08:53,SCT018 BKN200,10SM,70.0,61.0,73.0,4,050,0.0,29.32,0.0,2004-07-05 08:53:00
SEA_EWR_40205,2004,5,22,6,08:10,16:21,311,SEA,EWR,2401,2004-05-22 18:45:00,24233,447,450,450,47.28,-122.19,+8,+5,22-5-2004,2004-05-22 08:10:00,180,2004-05-22 10:21:00,22-05-2004 16:21,144,1,22-05-2004,07:56,BKN013 OVC018,10SM,52.0,49.0,89.0,7.0,220,0.0,29.31,,2004-05-22 07:56:00,22-05-2004,09:56,BKN015 OVC018,10SM,53.0,49.0,86.0,10.0,220,0.0,29.31,0.0,2004-05-22 09:56:00
DFW_MCO_32984,2004,5,9,7,13:20,16:56,156,DFW,MCO,984,2004-05-09 16:56:00,3927,559,596,562,32.54,-97.02,+6,+5,9-5-2004,2004-05-09 13:20:00,60,2004-05-09 14:56:00,09-05-2004 16:56,0,2,09-05-2004,09:53,SCT022 BKN034,9SM,75.0,64.0,69.0,17.0,150,0.0,29.43,0.0,2004-05-09 09:53:00,09-05-2004,09:53,SCT022 BKN034,9SM,75.0,64.0,69.0,17.0,150,0.0,29.43,0.0,2004-05-09 09:53:00
DFW_LAX_40788,2004,11,17,3,09:30,10:52,202,DFW,LAX,1235,2004-11-17 12:24:00,3927,559,596,562,32.54,-97.02,+6,+8,17-11-2004,2004-11-17 09:30:00,-120,2004-11-17 14:52:00,17-11-2004 10:52,92,1,17-11-2004,08:53,OVC006,2SM,62.0,60.0,93.0,7.0,090,0.0,29.56,0.14,2004-11-17 08:53:00,17-11-2004,09:53,OVC006,2.5SM,62.0,60.0,93.0,8.0,100,0.0,29.54,0.04,2004-11-17 09:53:00
ORD_LAS_30907,2004,7,3,6,14:50,16:43,233,ORD,LAS,1515,2004-07-03 16:43:00,94846,655,674,658,41.59,-87.55,+6,+8,3-7-2004,2004-07-03 14:50:00,-120,2004-07-03 20:43:00,03-07-2004 16:43,0,2,03-07-2004,09:56,SCT028 OVC035,8SM,79.0,69.0,72.0,10.0,140,0.0,29.13,0.0,2004-07-03 09:56:00,03-07-2004,09:56,SCT028 OVC035,8SM,79.0,69.0,72.0,10.0,140,0.0,29.13,0.0,2004-07-03 09:56:00
SMF_DEN_32833,2004,9,17,5,16:55,20:11,136,SMF,DEN,910,2004-09-17 20:11:00,93225,19,33,22,38.42,-121.35,+8,+7,17-9-2004,2004-09-17 16:55:00,60,2004-09-17 18:11:00,17-09-2004 20:11,0,2,17-09-2004,09:53,CLR,10SM,79.0,53.0,41.0,9.0,190,0.0,29.75,0.0,2004-09-17 09:53:00,17-09-2004,09:53,CLR,10SM,79.0,53.0,41.0,9.0,190,0.0,29.75,0.0,2004-09-17 09:53:00
TPA_DFW_46827,2004,9,19,7,17:20,18:59,159,TPA,DFW,929,2004-09-19 18:59:00,12842,8,11,40,27.58,-82.32,+5,+6,19-9-2004,2004-09-19 17:20:00,-60,2004-09-19 20:59:00,19-09-2004 18:59,0,2,19-09-2004,09:53,FEW250,10SM,84.0,73.0,70.0,5.0,080,0.0,29.95,0.0,2004-09-19 09:53:00,19-09-2004,09:53,FEW250,10SM,84.0,73.0,70.0,5.0,080,0.0,29.95,0.0,2004-09-19 09:53:00
MDW_BNA_29314,2004,3,19,5,12:00,13:15,75,MDW,BNA,395,2004-03-19 13:15:00,14819,616,618,619,41.47,-87.45,+6,+6,19-3-2004,2004-03-19 12:00:00,0,2004-03-19 13:15:00,19-03-2004 13:15,0,2,19-03-2004,09:53,FEW018,10SM,40.0,31.0,70.0,9.0,190,0.0,29.7,0.0,2004-03-19 09:53:00,19-03-2004,09:53,FEW018,10SM,40.0,31.0,70.0,9.0,190,0.0,29.7,0.0,2004-03-19 09:53:00
MIA_SJU_52400,2004,5,26,3,14:20,16:51,151,MIA,SJU,1045,2004-05-26 16:51:00,12839,26,30,29,25.49,-80.18,+5,+4,26-5-2004,2004-05-26 14:20:00,60,2004-05-26 15:51:00,26-05-2004 16:51,0,2,26-05-2004,09:53,SCT036,10SM,83.0,66.0,57.0,3.0,VRB,0.0,30.04,0.0,2004-05-26 09:53:00,26-05-2004,09:53,SCT036,10SM,83.0,66.0,57.0,3.0,VRB,0.0,30.04,0.0,2004-05-26 09:53:00
GJT_DEN_49115,2004,11,28,7,16:20,17:27,67,GJT,DEN,212,2004-11-28 19:28:00,23066,4823,4839,4826,39.08,-108.32,+7,+7,28-11-2004,2004-11-28 16:20:00,0,2004-11-28 17:27:00,28-11-2004 17:27,121,1,28-11-2004,09:53,BKN003 OVC020,1.75SM,29.0,28.0,96.0,8.0,270,0.0,24.85,,2004-11-28 09:53:00,28-11-2004,09:53,BKN003 OVC020,1.75SM,29.0,28.0,96.0,8.0,270,0.0,24.85,,2004-11-28 09:53:00
DFW_MSY_28370,2004,1,4,7,14:52,16:12,80,DFW,MSY,448,2004-01-04 16:12:00,3927,559,596,562,32.54,-97.02,+6,+6,4-1-2004,2004-01-04 14:52:00,0,2004-01-04 16:12:00,04-01-2004 16:12,0,2,04-01-2004,11:53,BKN019 OVC200,10SM,49.0,38.0,66.0,19.0,320,24.0,29.36,0.0,2004-01-04 11:53:00,04-01-2004,11:53,BKN019 OVC200,10SM,49.0,38.0,66.0,19.0,320,24.0,29.36,0.0,2004-01-04 11:53:00
DFW_PHX_41215,2004,7,8,4,06:05,06:27,142,DFW,PHX,868,2004-07-08 06:27:00,3927,559,596,562,32.54,-97.02,+6,+7,8-7-2004,2004-07-08 06:05:00,-60,2004-07-08 09:27:00,08-07-2004 06:27,0,2,08-07-2004,05:53,FEW015 SCT060 SCT300,10SM,77.0,73.0,88.0,9.0,180,0.0,29.29,0.0,2004-07-08 05:53:00,08-07-2004,05:53,FEW015 SCT060 SCT300,10SM,77.0,73.0,88.0,9.0,180,0.0,29.29,0.0,2004-07-08 05:53:00
LGA_CLT_35272,2004,3,8,1,07:00,09:08,128,LGA,CLT,544,2004-03-08 09:08:00,14732,36,31,39,40.47,-73.53,+5,+5,8-3-2004,2004-03-08 07:00:00,0,2004-03-08 09:08:00,08-03-2004 09:08,0,2,08-03-2004,06:51,SCT007 OVC014,5SM,35.0,34.0,96.0,9,080,0.0,29.65,0.03,2004-03-08 06:51:00,08-03-2004,08:51,OVC004,3SM,35.0,34.0,96.0,15,060,0.0,29.66,0.01,2004-03-08 08:51:00
SEA_SAN_53396,2004,9,1,3,10:45,13:26,161,SEA,SAN,1050,2004-09-01 13:26:00,24233,447,450,450,47.28,-122.19,+8,+8,1-9-2004,2004-09-01 10:45:00,0,2004-09-01 13:26:00,01-09-2004 13:26,0,2,01-09-2004,09:56,SCT015 BKN027 BKN049,10SM,61.0,55.0,81.0,7.0,230,0.0,29.57,0.0,2004-09-01 09:56:00,01-09-2004,09:56,SCT015 BKN027 BKN049,10SM,61.0,55.0,81.0,7.0,230,0.0,29.57,0.0,2004-09-01 09:56:00
TYS_CVG_31546,2004,9,10,5,13:50,15:05,75,TYS,CVG,226,2004-09-10 15:05:00,13891,979,980,982,35.49,-83.59,+5,+5,10-9-2004,2004-09-10 13:50:00,0,2004-09-10 15:05:00,10-09-2004 15:05,0,2,10-09-2004,09:53,SCT002 OVC006,7SM,68.0,64.0,87.0,4.0,060,0.0,29.16,0.0,2004-09-10 09:53:00,10-09-2004,09:53,SCT002 OVC006,7SM,68.0,64.0,87.0,4.0,060,0.0,29.16,0.0,2004-09-10 09:53:00
HOU_BWI_52559,2004,7,10,6,15:10,19:15,185,HOU,BWI,1246,2004-07-10 19:15:00,12918,45,47,48,29.39,-95.17,+6,+5,10-7-2004,2004-07-10 15:10:00,60,2004-07-10 17:15:00,10-07-2004 19:15,0,2,10-07-2004,09:53,BKN023 BKN250,10SM,86.0,73.0,65.0,5.0,110,0.0,30.06,0.0,2004-07-10 09:53:00,10-07-2004,09:53,BKN023 BKN250,10SM,86.0,73.0,65.0,5.0,110,0.0,30.06,0.0,2004-07-10 09:53:00
CLT_ORF_37329,2004,9,9,4,08:20,09:30,70,CLT,ORF,290,2004-09-09 09:30:00,13881,721,769,724,35.13,-80.56,+5,+5,9-9-2004,2004-09-09 08:20:00,0,2004-09-09 09:30:00,09-09-2004 09:30,0,2,09-09-2004,07:51,SCT008 SCT250,10SM,72.0,68.0,87.0,3.0,190,0.0,29.17,0.0,2004-09-09 07:51:00,09-09-2004,08:51,FEW015,10SM,75.0,68.0,79.0,5.0,290,0.0,29.2,0.0,2004-09-09 08:51:00
CHA_CVG_30655,2004,7,1,4,14:15,15:30,75,CHA,CVG,278,2004-07-01 17:30:00,13882,688,688,691,35.02,-85.12,+5,+5,1-7-2004,2004-07-01 14:15:00,0,2004-07-01 15:30:00,01-07-2004 15:30,120,1,01-07-2004,09:53,SCT010 BKN016 BKN040,6SM,75.0,70.0,84.0,0,000,0.0,29.44,,2004-07-01 09:53:00,01-07-2004,09:53,SCT010 BKN016 BKN040,6SM,75.0,70.0,84.0,0,000,0.0,29.44,,2004-07-01 09:53:00
MEM_DTW_28826,2004,5,14,5,13:40,16:34,114,MEM,DTW,610,2004-05-14 16:34:00,13893,283,332,286,35.04,-89.59,+6,+5,14-5-2004,2004-05-14 13:40:00,60,2004-05-14 14:34:00,14-05-2004 16:34,0,2,14-05-2004,09:53,SCT010 BKN021 BKN031 OVC150,9SM,70.0,67.0,90.0,7,200,0.0,29.77,0.05,2004-05-14 09:53:00,14-05-2004,09:53,SCT010 BKN021 BKN031 OVC150,9SM,70.0,67.0,90.0,7,200,0.0,29.77,0.05,2004-05-14 09:53:00
EWR_DAB_34655,2004,11,7,7,14:30,16:59,149,EWR,DAB,884,2004-11-07 16:59:00,14734,25,30,28,40.43,-74.1,+5,+5,7-11-2004,2004-11-07 14:30:00,0,2004-11-07 16:59:00,07-11-2004 16:59,0,2,07-11-2004,09:51,CLR,10SM,57.0,38.0,49.0,5.0,220,0.0,29.85,0.0,2004-11-07 09:51:00,07-11-2004,09:51,CLR,10SM,57.0,38.0,49.0,5.0,220,0.0,29.85,0.0,2004-11-07 09:51:00
ABQ_DAL_26476,2004,9,28,2,14:10,16:45,95,ABQ,DAL,580,2004-09-28 16:45:00,23050,5305,5314,5308,35.02,-106.37,+7,+6,28-9-2004,2004-09-28 14:10:00,60,2004-09-28 14:45:00,28-09-2004 16:45,0,2,28-09-2004,09:56,SCT050,10SM,66.0,45.0,47.0,14,120,20.0,24.99,0.0,2004-09-28 09:56:00,28-09-2004,09:56,SCT050,10SM,66.0,45.0,47.0,14,120,20.0,24.99,0.0,2004-09-28 09:56:00
CLE_DTW_47868,2004,11,9,2,17:00,18:01,61,CLE,DTW,95,2004-11-09 18:01:00,14820,802,805,805,41.24,-81.51,+5,+5,9-11-2004,2004-11-09 17:00:00,0,2004-11-09 18:01:00,09-11-2004 18:01,0,2,09-11-2004,09:51,SCT037 SCT250,10SM,39.0,23.0,53.0,9.0,350,0.0,29.68,0.0,2004-11-09 09:51:00,09-11-2004,09:51,SCT037 SCT250,10SM,39.0,23.0,53.0,9.0,350,0.0,29.68,0.0,2004-11-09 09:51:00
ATL_AVL_26738,2004,5,25,2,09:49,10:56,67,ATL,AVL,164,2004-05-25 10:56:00,13874,971,1026,974,33.38,-84.26,+5,+5,25-5-2004,2004-05-25 09:49:00,0,2004-05-25 10:56:00,25-05-2004 10:56,0,2,25-05-2004,08:53,FEW090 SCT200 BKN300,10SM,78.0,68.0,71.0,9.0,280,0.0,29.03,0.0,2004-05-25 08:53:00,25-05-2004,09:53,FEW025 SCT090 BKN200 BKN300,10SM,80.0,68.0,67.0,7.0,300,0.0,29.04,0.0,2004-05-25 09:53:00
SEA_OAK_42573,2004,3,3,3,13:20,15:20,120,SEA,OAK,671,2004-03-03 15:20:00,24233,447,450,450,47.28,-122.19,+8,+8,3-3-2004,2004-03-03 13:20:00,0,2004-03-03 15:20:00,03-03-2004 15:20,0,2,03-03-2004,09:56,SCT006 BKN013 OVC019,8SM,39.0,37.0,93.0,11.0,220,0.0,29.55,0.04,2004-03-03 09:56:00,03-03-2004,09:56,SCT006 BKN013 OVC019,8SM,39.0,37.0,93.0,11.0,220,0.0,29.55,0.04,2004-03-03 09:56:00
ANC_BET_34057,2004,11,2,2,13:52,15:10,78,ANC,BET,399,2004-11-02 15:10:00,26451,130,132,133,61.1,-149.59,+9,+9,2-11-2004,2004-11-02 13:52:00,0,2004-11-02 15:10:00,02-11-2004 15:10,0,2,02-11-2004,09:53,FEW005 SCT150 SCT250,10SM,12.0,4.0,70.0,0.0,000,0.0,29.4,0.0,2004-11-02 09:53:00,02-11-2004,09:53,FEW005 SCT150 SCT250,10SM,12.0,4.0,70.0,0.0,000,0.0,29.4,0.0,2004-11-02 09:53:00
ATL_BWI_31783,2004,5,30,7,15:40,17:28,108,ATL,BWI,576,2004-05-30 17:28:00,13874,971,1026,974,33.38,-84.26,+5,+5,30-5-2004,2004-05-30 15:40:00,0,2004-05-30 17:28:00,30-05-2004 17:28,0,2,30-05-2004,09:53,SCT014 BKN018 OVC024,8SM,76.0,72.0,88.0,6.0,220,0.0,28.98,0.0,2004-05-30 09:53:00,30-05-2004,09:53,SCT014 BKN018 OVC024,8SM,76.0,72.0,88.0,6.0,220,0.0,28.98,0.0,2004-05-30 09:53:00
MCI_PHX_28689,2004,5,13,4,08:26,09:19,173,MCI,PHX,1044,2004-05-13 10:02:00,3947,1005,1025,1008,39.18,-94.43,+6,+7,13-5-2004,2004-05-13 08:26:00,-60,2004-05-13 12:19:00,13-05-2004 09:19,43,1,13-05-2004,07:53,FEW005 OVC025,3SM,57.0,57.0,100.0,5,130,0.0,28.9,0.15,2004-05-13 07:53:00,13-05-2004,08:58,BKN004 BKN017 OVC140,9SM,,,,7,310,0.0,,,2004-05-13 08:58:00
SAT_DFW_52966,2004,11,22,1,15:50,16:56,66,SAT,DFW,247,2004-11-22 19:37:00,12921,818,809,821,29.32,-98.28,+6,+6,22-11-2004,2004-11-22 15:50:00,0,2004-11-22 16:56:00,22-11-2004 16:56,161,1,22-11-2004,09:53,BKN006 OVC022,3SM,68.0,66.0,93.0,5.0,360,0.0,29.12,0.33,2004-11-22 09:53:00,22-11-2004,09:53,BKN006 OVC022,3SM,68.0,66.0,93.0,5.0,360,0.0,29.12,0.33,2004-11-22 09:53:00
DEN_BUR_29367,2004,1,3,6,17:10,18:30,140,DEN,BUR,850,2004-01-03 18:30:00,3017,5379,5431,5382,39.5,-104.4,+7,+8,3-1-2004,2004-01-03 17:10:00,-60,2004-01-03 20:30:00,03-01-2004 18:30,0,2,03-01-2004,09:53,BKN029 OVC034,3SM,24.0,20.0,84.0,14.0,140,0.0,24.46,,2004-01-03 09:53:00,03-01-2004,09:53,BKN029 OVC034,3SM,24.0,20.0,84.0,14.0,140,0.0,24.46,,2004-01-03 09:53:00
