FlightNumber,Year,Month,DayofMonth,DayOfWeek,ScheduledDepTime,ScheduledArrTime,ScheduledTravelTime,Origin,Destination,Distance,WeatherStationID,GroundHeight,StationHeight,BarometerHeight,Latitude,Longitude,Origin_TimeZone,Destination_TimeZone,ScheduledDepDate,ScheduledDepTimeStamp,Diff_TimeZone,ScheduledArrivalTimestamp,ScheduledArrivalTimestamp1,YearMonthDay,Time,SkyConditions,Visibility,DBT,DewPointTemp,RelativeHumidityPercent,WindSpeed,WindDirection,WindGustValue,StationPressure,HourlyPrecip,Timestamp,dest_YearMonthDay,dest_Time,dest_SkyConditions,dest_Visibility,dest_DBT,dest_DewPointTemp,dest_RelativeHumidityPercent,dest_WindSpeed,dest_WindDirection,dest_WindGustValue,dest_StationPressure,dest_HourlyPrecip,dest_Timestamp
SFO_ACV_72678,2005,9,20,2,08:55,10:10,75,SFO,ACV,250,23234,86,18,89,37.37,-122.24,+8,+8,20-9-2005,2005-09-20 08:55:00,0,2005-09-20 10:10:00,20-09-2005 10:10,20-09-2005,07:56,FEW010,10SM,61.0,52.0,72.0,3.0,320,0.0,29.95,0.0,2005-09-20 07:56:00,20-09-2005,09:56,FEW010 SCT150,10SM,65.0,54.0,68.0,4.0,030,0.0,29.96,0.0,2005-09-20 09:56:00
DCA_CMH_64355,2005,7,29,5,14:59,16:13,74,DCA,CMH,322,13743,10,65,3,38.52,-77.02,+5,+5,29-7-2005,2005-07-29 14:59:00,0,2005-07-29 16:13:00,29-07-2005 16:13,29-07-2005,09:51,FEW024 BKN035 OVC085,10SM,76.0,68.0,77.0,6,130,0.0,30.14,0.0,2005-07-29 09:51:00,29-07-2005,09:51,FEW024 BKN035 OVC085,10SM,76.0,68.0,77.0,6,130,0.0,30.14,0.0,2005-07-29 09:51:00
CVG_MHT_63130,2005,11,3,4,14:51,16:53,122,CVG,MHT,741,93814,882,883,885,39.02,-84.4,+5,+5,3-11-2005,2005-11-03 14:51:00,0,2005-11-03 16:53:00,03-11-2005 16:53,03-11-2005,09:52,BKN250,10SM,58.0,39.0,50.0,9.0,220,0.0,29.23,0.0,2005-11-03 09:52:00,03-11-2005,09:52,BKN250,10SM,58.0,39.0,50.0,9.0,220,0.0,29.23,0.0,2005-11-03 09:52:00
ICT_ATL_61706,2005,3,2,3,16:31,19:31,120,ICT,ATL,781,3928,1338,1340,1341,37.39,-97.26,+6,+5,2-3-2005,2005-03-02 16:31:00,60,2005-03-02 19:31:00,02-03-2005 19:31,02-03-2005,09:56,BKN250,10SM,42.0,26.0,53.0,11.0,210,0.0,28.62,0.0,2005-03-02 09:56:00,02-03-2005,09:56,BKN250,10SM,42.0,26.0,53.0,11.0,210,0.0,28.62,0.0,2005-03-02 09:56:00
BOS_LGA_101325,2005,3,8,2,11:30,12:36,66,BOS,LGA,185,14739,19,30,180,42.22,-71.01,+5,+5,8-3-2005,2005-03-08 11:30:00,0,2005-03-08 12:36:00,08-03-2005 12:36,08-03-2005,09:54,BKN038 OVC044,3SM,43.0,40.0,89.0,6,220,0.0,29.1,0.03,2005-03-08 09:54:00,08-03-2005,09:54,BKN038 OVC044,3SM,43.0,40.0,89.0,6,220,0.0,29.1,0.03,2005-03-08 09:54:00
SNA_SFO_70405,2005,9,23,5,13:22,14:41,79,SNA,SFO,372,93184,49,55,52,33.41,-117.52,+8,+8,23-9-2005,2005-09-23 13:22:00,0,2005-09-23 14:41:00,23-09-2005 14:41,23-09-2005,09:53,SCT120 BKN200,6SM,69.0,58.0,68.0,4.0,200,0.0,29.8,0.0,2005-09-23 09:53:00,23-09-2005,09:53,SCT120 BKN200,6SM,69.0,58.0,68.0,4.0,200,0.0,29.8,0.0,2005-09-23 09:53:00
SEA_MCI_62812,2005,9,4,7,12:30,17:55,205,SEA,MCI,1489,24233,447,450,450,47.28,-122.19,+8,+6,4-9-2005,2005-09-04 12:30:00,120,2005-09-04 17:55:00,04-09-2005 17:55,04-09-2005,09:56,SCT018 BKN027 BKN090,10SM,60.0,52.0,75.0,9.0,220,0.0,29.64,0.0,2005-09-04 09:56:00,04-09-2005,09:56,SCT018 BKN027 BKN090,10SM,60.0,52.0,75.0,9.0,220,0.0,29.64,0.0,2005-09-04 09:56:00
XNA_CVG_70613,2005,9,25,7,06:30,09:14,104,XNA,CVG,561,53922,1269,1319,1272,36.17,-94.19,+6,+5,25-9-2005,2005-09-25 06:30:00,60,2005-09-25 09:14:00,25-09-2005 09:14,25-09-2005,05:53,OVC018,10SM,72.0,68.0,87.0,16.0,010,21.0,28.31,0.0,2005-09-25 05:53:00,25-09-2005,08:53,BKN020 OVC025,10SM,73.0,68.0,84.0,13.0,340,0.0,28.37,0.0,2005-09-25 08:53:00
CVG_CAK_81023,2005,3,28,1,16:30,17:34,64,CVG,CAK,214,93814,882,883,885,39.02,-84.4,+5,+5,28-3-2005,2005-03-28 16:30:00,0,2005-03-28 17:34:00,28-03-2005 17:34,28-03-2005,09:52,OVC005,7SM,45.0,43.0,93.0,13.0,010,0.0,28.51,0.02,2005-03-28 09:52:00,28-03-2005,09:52,OVC005,7SM,45.0,43.0,93.0,13.0,010,0.0,28.51,0.02,2005-03-28 09:52:00
DFW_EGE_103707,2005,7,27,3,15:40,16:53,133,DFW,EGE,720,3927,559,596,562,32.54,-97.02,+6,+7,27-7-2005,2005-07-27 15:40:00,-60,2005-07-27 16:53:00,27-07-2005 16:53,27-07-2005,09:53,FEW010 BKN019 OVC028,10SM,75.0,70.0,84.0,4.0,300,0.0,29.47,0.09,2005-07-27 09:53:00,27-07-2005,09:53,FEW010 BKN019 OVC028,10SM,75.0,70.0,84.0,4.0,300,0.0,29.47,0.09,2005-07-27 09:53:00
CMH_BWI_87707,2005,11,21,1,08:50,10:00,70,CMH,BWI,336,14821,846,816,849,39.59,-82.53,+5,+5,21-11-2005,2005-11-21 08:50:00,0,2005-11-21 10:00:00,21-11-2005 10:00,21-11-2005,07:51,SCT120 BKN200,8SM,33.0,27.0,78.0,0.0,000,0.0,29.07,0.0,2005-11-21 07:51:00,21-11-2005,09:51,FEW250,9SM,40.0,31.0,70.0,0.0,000,0.0,29.05,0.0,2005-11-21 09:51:00
ORD_MCO_77416,2005,9,29,4,15:50,19:33,163,ORD,MCO,1005,94846,655,674,658,41.59,-87.55,+6,+5,29-9-2005,2005-09-29 15:50:00,60,2005-09-29 19:33:00,29-09-2005 19:33,29-09-2005,09:56,SCT250,10SM,53.0,34.0,49.0,6.0,290,0.0,29.5,0.0,2005-09-29 09:56:00,29-09-2005,09:56,SCT250,10SM,53.0,34.0,49.0,6.0,290,0.0,29.5,0.0,2005-09-29 09:56:00
BDL_DFW_101066,2005,7,17,7,14:00,16:46,226,BDL,DFW,1471,14740,162,179,165,41.56,-72.41,+5,+6,17-7-2005,2005-07-17 14:00:00,-60,2005-07-17 16:46:00,17-07-2005 16:46,17-07-2005,09:51,OVC011,10SM,77.0,72.0,85.0,5.0,VRB,0.0,29.93,0.0,2005-07-17 09:51:00,17-07-2005,09:51,OVC011,10SM,77.0,72.0,85.0,5.0,VRB,0.0,29.93,0.0,2005-07-17 09:51:00
SEA_PHX_87588,2005,9,1,4,05:30,08:12,162,SEA,PHX,1107,24233,447,450,450,47.28,-122.19,+8,+7,1-9-2005,2005-09-01 05:30:00,60,2005-09-01 09:12:00,01-09-2005 08:12,01-09-2005,00:56,CLR,10SM,60.0,51.0,72.0,13.0,040,0.0,29.62,0.0,2005-09-01 00:56:00,01-09-2005,07:56,BKN250,10SM,63.0,52.0,68.0,5.0,050,0.0,29.57,0.0,2005-09-01 07:56:00
PHX_SEA_80255,2005,7,12,2,07:30,10:19,169,PHX,SEA,1107,23183,1103,1107,1106,33.26,-111.59,+7,+8,12-7-2005,2005-07-12 07:30:00,-60,2005-07-12 09:19:00,12-07-2005 10:19,12-07-2005,06:51,CLR,10SM,85.0,38.0,19.0,5.0,090,0.0,28.71,0.0,2005-07-12 06:51:00,12-07-2005,09:51,CLR,10SM,98.0,34.0,11.0,6.0,220,0.0,28.73,0.0,2005-07-12 09:51:00
GRR_CVG_87376,2005,3,1,2,12:32,13:44,72,GRR,CVG,268,94860,785,803,788,42.53,-85.31,+5,+5,1-3-2005,2005-03-01 12:32:00,0,2005-03-01 13:44:00,01-03-2005 13:44,01-03-2005,09:56,BKN045 OVC055,3SM,22.0,17.0,82.0,14.0,330,0.0,28.76,,2005-03-01 09:56:00,01-03-2005,09:56,BKN045 OVC055,3SM,22.0,17.0,82.0,14.0,330,0.0,28.76,,2005-03-01 09:56:00
PDX_SFO_84904,2005,11,22,2,13:16,14:58,102,PDX,SFO,550,24229,220,107,223,45.35,-122.36,+8,+8,22-11-2005,2005-11-22 13:16:00,0,2005-11-22 14:58:00,22-11-2005 14:58,22-11-2005,09:55,CLR,10SM,46.0,36.0,68.0,3.0,VRB,0.0,29.98,0.0,2005-11-22 09:55:00,22-11-2005,09:55,CLR,10SM,46.0,36.0,68.0,3.0,VRB,0.0,29.98,0.0,2005-11-22 09:55:00
